2205,0.09,695, 273
2205,0.071,457, 181
2205,0.057,435, 305
2205,0.045,319, 261
2205,0.035,249, 229
2205,0.046,371, 217
2205,0.043,433, 249
2205,0.045,331, 205
2205,0.074,625, 389
2205,0.046,413, 141
253,0.021,95, 53
253,0.009,29, 29
253,0.014,63, 45
253,0.012,51, 49
253,0.014,79, 33
253,0.006,33, 29
253,0.015,73, 33
253,0.011,59, 41
253,0.014,85, 45
253,0.015,69, 61
8001,0.152,1221, 457
8001,0.071,655, 365
8001,0.13,803, 569
8001,0.182,1539, 593
8001,0.094,885, 417
8001,0.218,2045, 445
8001,0.112,925, 509
8001,0.179,1253, 725
8001,0.082,817, 437
8001,0.3,2613, 781
32385,0.33,2863, 909
32385,0.442,4233, 1085
32385,0.449,4053, 1497
32385,0.731,6199, 1665
32385,0.45,4131, 1305
32385,0.701,6487, 1173
32385,0.415,3817, 1085
32385,0.564,5229, 1385
32385,0.322,2743, 1141
32385,0.558,5023, 1141
203841,3.351,37783, 3717
203841,2.542,27603, 3889
203841,2.857,30505, 4229
203841,4.494,50659, 4421
203841,0.882,8733, 2801
203841,1.723,17139, 4053
203841,1.531,15771, 3029
203841,1.182,11979, 3381
203841,1.99,20543, 3761
203841,6.107,71599, 5053
817281,5.008,50007, 6661
817281,2.666,28065, 6669
817281,2.977,30157, 6669
817281,12.168,120167, 8497
817281,4.04,41061, 7621
817281,14.6,152421, 6305
817281,11.913,123821, 8453
817281,3.258,33885, 6793
817281,16.649,177623, 6749
817281,9.804,101587, 7589
