2205,0.112,692, 273
2205,0.077,466, 181
2205,0.074,413, 305
2205,0.056,339, 261
2205,0.045,297, 229
2205,0.063,333, 217
2205,0.055,417, 249
2205,0.075,412, 205
2205,0.103,651, 389
2205,0.05,342, 141
253,0.015,78, 53
253,0.007,29, 29
253,0.012,63, 45
253,0.012,51, 49
253,0.012,79, 33
253,0.007,33, 29
253,0.015,73, 33
253,0.011,59, 41
253,0.017,85, 45
253,0.016,67, 61
8001,0.202,679, 457
8001,0.127,573, 365
8001,0.19,807, 569
8001,0.288,1324, 593
8001,0.179,777, 417
8001,0.293,1539, 445
8001,0.222,1045, 509
8001,0.235,1277, 725
8001,0.162,773, 437
8001,0.525,2569, 781
32385,0.79,2655, 909
32385,1.313,4261, 1085
32385,1.266,4203, 1497
32385,1.673,6192, 1665
32385,1.236,3929, 1305
32385,1.683,4921, 1173
32385,0.925,3584, 1085
32385,0.941,2899, 1385
32385,0.684,2443, 1141
32385,0.732,2400, 1141
203841,17.63,36444, 3717
203841,11.437,22635, 3889
203841,19.827,28844, 4229
203841,30.761,50452, 4421
203841,3.479,8002, 2801
203841,9.891,17648, 4053
203841,3.849,7463, 3029
203841,5.009,11150, 3381
203841,12.032,22796, 3761
203841,34.531,71450, 5053
817281,58.669,49140, 6661
817281,21.534,26914, 6669
817281,27.888,30569, 6669
817281,47.165,43659, 8497
817281,80.403,66040, 7621
817281,169.618,156805, 6305
817281,127.067,121205, 8453
817281,28.598,30662, 6793
817281,86.0,83731, 6749
817281,30.057,35071, 7589
