2205,0.078,707, 273
2205,0.085,843, 181
2205,0.05,443, 305
2205,0.089,761, 261
2205,0.033,239, 229
2205,0.05,373, 217
2205,0.083,789, 249
2205,0.077,745, 205
2205,0.065,539, 389
2205,0.066,461, 141
253,0.019,93, 53
253,0.006,31, 29
253,0.014,63, 45
253,0.012,51, 49
253,0.016,83, 33
253,0.011,55, 29
253,0.015,73, 33
253,0.011,61, 41
253,0.015,85, 45
253,0.016,69, 61
8001,0.215,2367, 457
8001,0.142,1675, 365
8001,0.252,2641, 569
8001,0.149,1689, 593
8001,0.217,2335, 417
8001,0.209,2551, 445
8001,0.106,1013, 509
8001,0.12,1193, 725
8001,0.276,3311, 437
8001,0.243,2675, 781
32385,0.955,11595, 909
32385,0.846,9605, 1085
32385,0.409,4187, 1497
32385,1.091,12183, 1665
32385,0.784,8845, 1305
32385,0.933,11727, 1173
32385,0.405,4489, 1085
32385,0.74,8125, 1385
32385,0.884,10225, 1141
32385,0.964,11627, 1141
203841,3.436,52241, 3717
203841,4.375,63979, 3889
203841,3.185,40709, 4229
203841,4.244,52045, 4421
203841,1.424,14959, 2801
203841,6.018,76535, 4053
203841,2.645,40121, 3029
203841,3.039,45367, 3381
203841,3.07,46159, 3761
203841,2.52,33163, 5053
817281,15.537,240857, 6661
817281,4.938,75275, 6669
817281,5.677,83757, 6669
817281,14.96,230811, 8497
817281,14.175,220643, 7621
817281,17.215,267829, 6305
817281,18.01,280833, 8453
817281,5.934,86957, 6793
817281,14.836,232149, 6749
817281,15.723,242583, 7589
