2205,0.111,911, 273
2205,0.094,865, 181
2205,0.126,1019, 305
2205,0.09,701, 261
2205,0.084,861, 229
2205,0.08,709, 217
2205,0.082,805, 249
2205,0.11,855, 205
2205,0.14,1021, 389
2205,0.077,694, 141
253,0.02,92, 53
253,0.009,59, 29
253,0.013,97, 45
253,0.014,99, 49
253,0.013,64, 33
253,0.012,88, 29
253,0.012,84, 33
253,0.013,67, 41
253,0.016,107, 45
253,0.014,83, 61
8001,0.3,3217, 457
8001,0.255,2508, 365
8001,0.308,2987, 569
8001,0.326,3471, 593
8001,0.317,3215, 417
8001,0.289,3453, 445
8001,0.233,2263, 509
8001,0.313,3095, 725
8001,0.262,2669, 437
8001,0.362,3871, 781
32385,1.034,11789, 909
32385,1.327,15021, 1085
32385,1.377,15531, 1497
32385,1.264,13749, 1665
32385,1.201,13117, 1305
32385,1.293,14919, 1173
32385,1.092,12369, 1085
32385,1.425,15652, 1385
32385,0.979,10211, 1141
32385,1.543,15769, 1141
203841,8.855,100095, 3717
203841,9.798,99644, 3889
203841,7.633,81538, 4229
203841,9.022,101327, 4421
203841,6.445,68946, 2801
203841,8.983,90434, 4053
203841,8.541,92386, 3029
203841,7.584,79458, 3381
203841,9.825,100368, 3761
203841,9.444,99880, 5053
817281,29.778,393721, 6661
817281,20.761,250392, 6669
817281,30.059,407093, 6669
817281,31.11,407605, 8497
817281,23.107,302459, 7621
817281,30.617,405284, 6305
817281,30.017,407624, 8453
817281,28.809,387533, 6793
817281,35.983,407391, 6749
817281,30.095,407666, 7589
