2205,0.097,680, 273
2205,0.11,689, 181
2205,0.092,659, 305
2205,0.124,809, 261
2205,0.042,305, 229
2205,0.085,391, 217
2205,0.133,929, 249
2205,0.118,761, 205
2205,0.094,623, 389
2205,0.103,595, 141
253,0.02,103, 53
253,0.011,51, 29
253,0.017,61, 45
253,0.019,99, 49
253,0.009,44, 33
253,0.015,75, 29
253,0.016,81, 33
253,0.017,59, 41
253,0.016,67, 45
253,0.019,77, 61
8001,0.399,2357, 457
8001,0.328,2187, 365
8001,0.556,2866, 569
8001,0.29,1701, 593
8001,0.504,2697, 417
8001,0.49,2675, 445
8001,0.202,1237, 509
8001,0.277,1305, 725
8001,0.5,3447, 437
8001,0.574,2828, 781
32385,3.034,12159, 909
32385,2.595,9597, 1085
32385,1.594,7629, 1497
32385,4.212,12212, 1665
32385,2.651,9331, 1305
32385,2.973,11579, 1173
32385,1.238,6394, 1085
32385,2.039,8415, 1385
32385,3.122,9254, 1141
32385,1.947,7203, 1141
203841,18.443,53317, 3717
203841,33.249,66706, 3889
203841,18.647,41776, 4229
203841,22.836,53742, 4421
203841,6.424,19109, 2801
203841,41.042,75602, 4053
203841,16.895,40994, 3029
203841,17.43,48085, 3381
203841,20.548,48012, 3761
203841,18.754,33464, 5053
817281,154.055,240572, 6661
817281,39.258,79897, 6669
817281,43.803,87414, 6669
817281,224.038,228093, 8497
817281,204.409,228897, 7621
817281,178.424,270619, 6305
817281,229.229,283722, 8453
817281,64.753,89885, 6793
817281,184.184,230349, 6749
817281,179.888,249996, 7589
